firstName,lastName,email,password,user_role
 John, Tan, johnTan@touchgrass.com, U1d90135a,Author
 Richard, Lim, RichardLyx@touchgrass.com, riLynx123,System Admin
 Dan, Low, DanLow123@touchgrass.com, dL123456,System Admin
 Jerry, Kuek, JerryKuek@touchgrass.com, jkSDSD,System Admin
 Tom, Lee, TomLee@touchgrass.com, Tommy123,Reviewer
 Jenny, Lee, JenniferLee@touchgrass.com, jenny225,System Admin
 Mingjun, Soh, sohMingjun@touchgrass.com, smj9977,Conference Chair
 David, Matthew, dMatthew@touchgrass.com, screwU123,Conference Chair
 Anderson, White, AndersonWhite@touchgrass.com, iamlost,Author
 Tricia, Soh, TriciaSoh@touchgrass.com, tsmj234,Author
 Anthony, Wong, AnthonyWong@touchgrass.com, anTony998,Reviewer
 Cynthia, Koh,CynthiaKoh2@touchgrass.com, s9902jjsm,Reviewer
 Shirley, Ma,ShirleyMa5@touchgrass.com, SMtcss75,Reviewer
 Jacqueline, Low,JacqLow@touchgrass.com, jlss2234,Author
 Karl, Marx,KarlMarx@touchgrass.com, karlmABC,Author
 Charlotte, Web,CharlotteWeb@touchgrass.com, ClWeb22,Author
 Emma, Seah,EmmaS123@touchgrass.com, Sembc0rp2,Author
 Elizabeth, Choy,ElizabethC@touchgrass.com, WW2ComesAgain,Conference Chair
 Gary, Yue,GaryYue@touchgrass.com, Death234,Conference Chair
 Ralph, Foo,RalphFoo@touchgrass.com, TianTian,Conference Chair
 Ralph, Tan,RalphTan@touchgrass.com, TanRude,Author
 Albert, Einstein,AlbertEinstein@touchgrass.com, steinstein,Author
 Marie, Curie,MarieCurie@touchgrass.com, nobel234,Reviewer
 Simo, Hayha,SimoHayha@touchgrass.com, WhiteDeath,System Admin
 Chris, Kyle,chrisKyle@touchgrass.com, sniperAWP2,Author
 wu, jing,wuJing@touchgrass.com, uWu1234,Author
 bobby, trap,bobbyTrap@touchgrass.com, trapUtoDeath,Author
 Elijah, Wong,ElijahWong@touchgrass.com, iLiedToU2,Author
 Xander, Wong,XanderWong@touchgrass.com, DistForLife,Reviewer
 Bruce, Wayne,BruceWayne@touchgrass.com, iamBatMan2,Conference Chair
 Joseph, Morgan,JosephMorgan@touchgrass.com, iamOriginal,Author
 Hugh, Jackman,hughJackman@touchgrass.com, wolverine2,Author
 Carolyna, White,CarolynaWhite@touchgrass.com, care4u,Reviewer
 Grigori, Perelman,GrigoriPerelman@touchgrass.com, fieldsMedal,Author
 Samantha, Wong,SamanthaWong@touchgrass.com, hihiIamSam2,Conference Chair
 YuanYuan, De,DeYuanYuan@touchgrass.com, yuanyuanDe,Author
 Andrea, Smith,AndreaSmith@touchgrass.com, iamAndrea,Author
 Ahbeng, Tan,TanAhBeng@touchgrass.com, uneducatedBeng,Reviewer
 Andy, Yeo,andy123@touchgrass.com, iamAndy,Conference Chair
 Ashley, Yeo,ashleyyeo@touchgrass.com, iamAshley,Conference Chair
 John, Doe,ultiLord@touchgrass.com, ultramanu2,Author
 Evelyn, Evelyn,evelynOw@touchgrass.com, owowISHere,Author
 Evelyn, Khoo,evelynKhoo@touchgrass.com, khooKh0o,Author
 Evon, black,evonBlack@touchgrass.com, bornABlackie,Author
 Genghis, Khan,genghisKhan@touchgrass.com, conqueror123,Author
 YuanZhang, Zhu,zhuYuanZhang@touchgrass.com, mingTaizu2,Conference Chair
 ShiMin, Li,tangtaiZong@touchgrass.com, lishimin2,System Admin
 Zheng, Ying,QinShiHuang@touchgrass.com, qinEmperor,Reviewer
 Tom, Riddle,tomRiddle@touchgrass.com, volderm0rt,Conference Chair
 Walter, White,walterWhite@touchgrass.com, warts123,Author
 Nikola, Tesla,nikolaTesla@touchgrass.com, acCurrent,Author
